bits;max_leaf;signal_bin;ms;
5;1;11101;0;
6;2;111101;0;
7;1;1110010;0;
8;2;11110100;0;
9;2;111110010;0;
10;2;1111100101;0;
11;1;11100010010;0;
12;2;111110101100;1;
13;1;1111100110101;2;
14;2;11111100110101;5;
15;2;111111001101011;8;
16;2;1111100110010100;11;
17;2;11110011011010100;16;
18;2;111110100101110011;31;
19;2;1111000111011101101;68;
20;2;11111011100010110100;149;
21;2;111111010001011000110;333;
22;3;1111111100011011001010;744;
23;3;11111111000110101001101;1584;
24;3;111111110001101010011011;3409;
25;2;1110011100000010101001001;7232;
26;3;11111111001011001010110001;15861;
27;3;111111110011000101110100101;33676;
28;2;1110011100000010101001001001;72578;
29;3;11111111001001101000111001010;155924;
